FID,VolcanoNumber,VolcanoName,SO2_Kilotons,StartDate,EndDate,GeoLocation,Emission_ID
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a58,211060,Etna,10,19790804,19790804,"14.999,37.748",4
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a57,211060,Etna,70,19800902,19800906,"14.999,37.748",5
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a56,211060,Etna,10,19861130,19861130,"14.999,37.748",6
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a55,211060,Etna,37,19890919,19890919,"14.999,37.748",7
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a54,211060,Etna,10,19900115,19900115,"14.999,37.748",8
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a53,211060,Etna,10,20010725,20010725,"14.999,37.748",9
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a52,211060,Etna,80,20021027,20021027,"14.999,37.748",10
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a51,211060,Etna,9.3,20061116,20061121,"14.999,37.748",11
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a50,211060,Etna,10.5,20070329,20070411,"14.999,37.748",12
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a4f,211060,Etna,6,20070429,20070507,"14.999,37.748",13
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a4e,211060,Etna,12,20070904,20070904,"14.999,37.748",14
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a4d,211060,Etna,10,20071124,20071124,"14.999,37.748",15
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a4c,211060,Etna,46.5,20080510,20080513,"14.999,37.748",16
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a4b,211060,Etna,7,20110112,20110112,"14.999,37.748",17
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a4a,211060,Etna,8,20110218,20110218,"14.999,37.748",18
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a49,211060,Etna,5,20110410,20110410,"14.999,37.748",19
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a48,211060,Etna,6,20110512,20110512,"14.999,37.748",20
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a47,211060,Etna,52.7,20110709,20111023,"14.999,37.748",21
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a46,211060,Etna,4.8,20111115,20111115,"14.999,37.748",22
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a45,211060,Etna,6.5,20120105,20120105,"14.999,37.748",23
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a44,211060,Etna,1.1,20120209,20120209,"14.999,37.748",24
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a43,211060,Etna,31,20120304,20120424,"14.999,37.748",25
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a42,211060,Etna,5,20130228,20130228,"14.999,37.748",26
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a41,211060,Etna,7,20130427,20130427,"14.999,37.748",27
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a40,211060,Etna,10,20131026,20131026,"14.999,37.748",28
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a3f,211060,Etna,40,20131117,20131230,"14.999,37.748",29
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a3e,211060,Etna,25,20151203,20151203,"14.999,37.748",30
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a3d,221010,"Tair, Jebel at",80,20070930,20070930,"41.83,15.55",31
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a3c,221020,Zubair Group,1,20111218,20111218,"42.18,15.05",32
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a3b,221060,Alu-Dalafilla,150,20081103,20081103,"40.553,13.793",33
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a3a,221101,Nabro,3650,20110613,20110613,"41.7,13.37",34
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a39,221115,Manda Hararo,26,20070812,20070812,"40.82,12.17",35
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a38,221115,Manda Hararo,34,20090629,20090629,"40.82,12.17",36
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a37,223020,Nyamuragira,884,19800131,19800131,"29.2,-1.408",37
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a36,223020,Nyamuragira,4122,19811225,19811225,"29.2,-1.408",38
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a35,223020,Nyamuragira,1384,19840223,19840223,"29.2,-1.408",39
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a34,223020,Nyamuragira,983,19860716,19860716,"29.2,-1.408",40
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a33,223020,Nyamuragira,28,19871231,19871231,"29.2,-1.408",41
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a32,223020,Nyamuragira,2105,19890424,19890424,"29.2,-1.408",42
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a31,223020,Nyamuragira,858,19910922,19910922,"29.2,-1.408",43
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a30,223020,Nyamuragira,1514,19940705,19940705,"29.2,-1.408",44
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a2f,223020,Nyamuragira,887,19961201,19961201,"29.2,-1.408",45
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a2e,223020,Nyamuragira,2513,19981017,19981017,"29.2,-1.408",46
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a2d,223020,Nyamuragira,317,20000128,20000128,"29.2,-1.408",47
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a2c,223020,Nyamuragira,1651,20010206,20010206,"29.2,-1.408",48
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a2b,223020,Nyamuragira,2321,20020725,20020725,"29.2,-1.408",49
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a2a,223020,Nyamuragira,2587,20040508,20040508,"29.2,-1.408",50
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a29,223020,Nyamuragira,675,20061127,20061127,"29.2,-1.408",51
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a28,223020,Nyamuragira,601,20100102,20100102,"29.2,-1.408",52
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a27,223020,Nyamuragira,1719,20111107,20111107,"29.2,-1.408",53
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a26,223030,Nyiragongo,30,20020117,20020117,"29.25,-1.52",54
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a25,224010,Cameroon,3,19821018,19821018,"9.17,4.203",55
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a24,224010,Cameroon,45,19990330,19990330,"9.17,4.203",56
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a23,233010,Karthala,10,20050417,20050417,"43.38,-11.75",57
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a22,233010,Karthala,20,20051124,20051124,"43.38,-11.75",58
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a21,233010,Karthala,10,20060528,20060528,"43.38,-11.75",59
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a20,233010,Karthala,0.6,20070112,20070112,"43.38,-11.75",60
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1f,233020,"Fournaise, Piton de la",4,20021117,20021117,"55.708,-21.244",61
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1e,233020,"Fournaise, Piton de la",0.5,20041002,20041002,"55.708,-21.244",62
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1d,233020,"Fournaise, Piton de la",10,20050226,20050226,"55.708,-21.244",63
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1c,233020,"Fournaise, Piton de la",15,20051227,20051227,"55.708,-21.244",64
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1b,233020,"Fournaise, Piton de la",1,20060831,20060831,"55.708,-21.244",65
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1a,233020,"Fournaise, Piton de la",300,20070403,20070403,"55.708,-21.244",66
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a19,233020,"Fournaise, Piton de la",1,20100111,20100111,"55.708,-21.244",67
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a18,233020,"Fournaise, Piton de la",1,20101015,20101015,"55.708,-21.244",68
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a17,233020,"Fournaise, Piton de la",1,20140621,20140621,"55.708,-21.244",69
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a16,233020,"Fournaise, Piton de la",3,20150204,20150204,"55.708,-21.244",70
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a15,233020,"Fournaise, Piton de la",2,20150518,20150518,"55.708,-21.244",71
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a14,233020,"Fournaise, Piton de la",2,20150731,20150731,"55.708,-21.244",72
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a13,233020,"Fournaise, Piton de la",2,20150825,20150825,"55.708,-21.244",73
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a12,234010,Heard,10,19850114,19850114,"73.513,-53.106",74
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a11,241080,Tongariro,1,20120806,20120806,"175.632,-39.157",75
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a10,241100,Ruapehu,80,19960617,19960617,"175.57,-39.28",76
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0f,241100,Ruapehu,10,19960720,19960720,"175.57,-39.28",77
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0e,243040,Hunga Tonga-Hunga Ha'apai,14,20141224,20141224,"-175.382,-20.536",78
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0d,243080,Home Reef,25,20060808,20060808,"-174.775,-18.992",79
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0c,251020,Manam,3,19970208,19970208,"145.037,-4.08",80
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0b,251020,Manam,17,19981005,19981005,"145.037,-4.08",81
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0a,251020,Manam,10,20020519,20020519,"145.037,-4.08",82
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a09,251020,Manam,152,20041024,20041127,"145.037,-4.08",83
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a08,251020,Manam,38,20041220,20041220,"145.037,-4.08",84
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a07,251020,Manam,140,20050128,20050128,"145.037,-4.08",85
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a06,251020,Manam,50,20060227,20060227,"145.037,-4.08",86
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a05,251020,Manam,10,20130413,20130413,"145.037,-4.08",87
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a04,251020,Manam,50,20150731,20150731,"145.037,-4.08",88
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a03,251030,Karkar,50,19790308,19790308,"145.964,-4.649",89
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a02,252070,Krummel-Garbuna-Welcker,1,20071111,20071111,"150.027,-5.416",90
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a01,252120,Ulawun,200,19801007,19801007,"151.33,-5.05",91
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a00,252120,Ulawun,70,19851120,19851120,"151.33,-5.05",92
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ff,252120,Ulawun,37,20000928,20000928,"151.33,-5.05",93
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49fe,252120,Ulawun,30,20010430,20010430,"151.33,-5.05",94
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49fd,252120,Ulawun,10,20020827,20020827,"151.33,-5.05",95
